frame,t,nx,ny,nz,agree_deg
205,577462.092761,0.22362,-0.83262,-0.50669,6.01
206,577462.099301,0.24018,-0.82187,-0.51657,6.51
207,577462.10152,0.24886,-0.82098,-0.51386,5.64
208,577462.10949,0.25963,-0.81877,-0.51206,5.22
209,577462.11485,0.26775,-0.80908,-0.52316,5.23
210,577462.117509,0.27408,-0.81042,-0.51779,5.04
211,577462.121253,0.27899,-0.81191,-0.5128,5.39
212,577462.125991,0.28288,-0.80909,-0.51512,5.17
213,577462.133757,0.28606,-0.81086,-0.51056,5.36
214,577462.145921,0.27227,-0.82464,-0.49581,5.36
215,577462.149672,0.26626,-0.83487,-0.48176,4.46
216,577462.158648,0.24947,-0.84224,-0.47792,5.11
217,577462.162241,0.25429,-0.84294,-0.47412,5.55
218,577462.165592,0.25648,-0.84824,-0.46336,3.93
219,577462.168967,0.25145,-0.84944,-0.46393,3.24
220,577462.173453,0.26147,-0.8507,-0.45601,3.88
221,577462.177765,0.26842,-0.84315,-0.46588,3.33
222,577462.18535,0.28368,-0.83536,-0.47085,4.29
223,577462.189935,0.27727,-0.84246,-0.46193,3.62
224,577462.192794,0.28299,-0.84015,-0.46266,4.15
225,577462.198718,0.28188,-0.8396,-0.46434,3.96
226,577462.202186,0.27041,-0.83988,-0.47062,4.26
227,577462.209692,0.28125,-0.83773,-0.4681,4.12
228,577462.21456,0.28403,-0.84016,-0.46201,4.52
229,577462.217403,0.28363,-0.84532,-0.45274,4.75
230,577462.230896,0.30039,-0.8485,-0.43568,4.57
231,577462.237988,0.31152,-0.8498,-0.42519,5.34
232,577462.242095,0.31035,-0.8513,-0.42305,5.14
233,577462.245526,0.33294,-0.85225,-0.4035,5.63
234,577462.249912,0.33127,-0.85247,-0.40441,4.2
235,577462.253307,0.33107,-0.8551,-0.39899,4.02
236,577462.261938,0.32215,-0.84754,-0.42179,3.41
237,577462.265592,0.31868,-0.83585,-0.447,4.04
238,577462.269227,0.31117,-0.83499,-0.45384,3.78
239,577462.273622,0.3093,-0.83087,-0.4626,3.91
240,577462.277694,0.30532,-0.82938,-0.46788,3.93
241,577462.28639,0.30988,-0.8254,-0.4719,4.26
242,577462.289297,0.31368,-0.82722,-0.46618,4.37
243,577462.293546,0.30833,-0.83315,-0.45913,5.48
244,577462.298063,0.3148,-0.83102,-0.45858,4.97
245,577462.302311,0.31805,-0.83203,-0.45451,5.33
246,577462.314102,0.3144,-0.84061,-0.44106,4.44
247,577462.318974,0.31156,-0.84116,-0.44202,4.98
248,577462.321469,0.31041,-0.83955,-0.44587,4.23
249,577462.326314,0.31118,-0.8388,-0.44675,4.86
250,577462.330104,0.31254,-0.83671,-0.44971,4.42
251,577462.337575,0.31532,-0.82933,-0.46128,4.53
252,577462.341638,0.32736,-0.82275,-0.46467,5.02
253,577462.345023,0.31885,-0.82226,-0.47141,4.37
254,577462.352974,0.33689,-0.81032,-0.47947,4.18
255,577462.361647,0.34592,-0.80802,-0.4769,3.54
256,577462.366293,0.34431,-0.80789,-0.47829,3.85
257,577462.369218,0.34443,-0.81578,-0.46463,2.92
258,577462.373564,0.33941,-0.82229,-0.45677,2.99
259,577462.377597,0.33313,-0.82837,-0.45035,2.52
260,577462.382324,0.31287,-0.83769,-0.44765,2.98
261,577462.390122,0.28284,-0.84189,-0.45959,5.97
262,577462.397423,0.27282,-0.85169,-0.44742,5.04
263,577462.402356,0.26436,-0.85616,-0.44396,5.14
264,577462.405367,0.26077,-0.8563,-0.44582,5.29
265,577462.414086,0.26434,-0.85629,-0.44372,5.75
266,577462.417367,0.27098,-0.85635,-0.43958,5.28
267,577462.420992,0.27967,-0.85604,-0.43473,3.6
268,577462.425787,0.29542,-0.85726,-0.42171,4.38
269,577462.429706,0.31873,-0.84635,-0.42675,4.88
270,577462.437917,0.31945,-0.8508,-0.41724,4.13
271,577462.441317,0.33563,-0.84826,-0.40964,4.6
272,577462.44516,0.34156,-0.84507,-0.41133,4.07
273,577462.450232,0.34798,-0.84401,-0.40811,3.95
274,577462.453995,0.34583,-0.84374,-0.41048,4.82
275,577462.461751,0.35418,-0.8409,-0.40919,5.01
276,577462.46619,0.34456,-0.8514,-0.39546,5.78
277,577462.469474,0.37148,-0.84677,-0.38076,4.38
278,577462.473709,0.36499,-0.85836,-0.36056,4.01
279,577462.490304,0.33856,-0.86829,-0.36256,3.6
280,577462.493324,0.33282,-0.8636,-0.3787,3.59
281,577462.497565,0.32382,-0.86151,-0.39109,3.38
282,577462.501778,0.32283,-0.85466,-0.40661,3.61
283,577462.50613,0.31132,-0.85385,-0.41717,4.87
284,577462.513343,0.3148,-0.8431,-0.43599,4.71
285,577462.518576,0.31584,-0.84177,-0.43781,4.94
286,577462.521226,0.32482,-0.83573,-0.44277,5.8
287,577462.526058,0.31927,-0.83909,-0.44044,5.57
288,577462.529414,0.3202,-0.84146,-0.43522,5.26
289,577462.533363,0.31265,-0.83841,-0.44645,4.15
290,577462.541745,0.31706,-0.84107,-0.43825,5.14
291,577462.545517,0.30691,-0.84136,-0.44489,4.33
292,577462.549531,0.30447,-0.8422,-0.44497,4.1
293,577462.554192,0.31099,-0.83556,-0.45291,4.06
294,577462.558205,0.31263,-0.8325,-0.45739,3.91
295,577462.573449,0.32679,-0.8191,-0.47147,5.03
296,577462.578385,0.33609,-0.81319,-0.47515,4.45
297,577462.581487,0.34091,-0.81162,-0.4744,4.09
298,577462.590144,0.33448,-0.80563,-0.48897,4.2
299,577462.593746,0.33676,-0.80617,-0.4865,3.69
