# generated, 2026-09-04T03:25:53+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
45,431177.049059,431177.049059,6.9301,-2.7179,134.7656,43.3983,-12.4929,77.9686,0.670798,-0.148625,-0.726595,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.527,1.4619,42.2259,4.3364,1.0000,,,3.1588,4.0853,7.2441
46,431177.073720,431177.073720,6.9501,-2.5891,134.6478,43.5592,-13.0820,77.9686,0.671219,-0.155975,-0.724663,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.436,1.4619,42.2259,4.4780,0.9278,,,2.9753,4.1489,7.1241
47,431177.103985,431177.103985,6.8342,-2.5479,134.5556,43.9946,-12.8754,77.9686,0.677126,-0.154777,-0.719406,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.458,1.4619,42.2259,4.7033,0.9167,,,3.2170,3.3340,6.5509
48,431177.152811,431177.152811,6.9696,-2.4365,134.5351,44.3189,-11.7680,77.9686,0.683967,-0.142490,-0.715462,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.837,1.4619,42.2259,4.8468,0.8722,,,3.1803,3.0489,6.2293
49,431177.188237,431177.188237,6.9654,-2.6917,134.7087,43.7003,-13.4601,77.9686,0.671910,-0.160816,-0.722963,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.328,1.4619,42.2259,4.3592,1.0000,,,3.2968,5.3802,8.6769
50,431177.232725,431177.232725,7.0069,-2.6315,134.7196,43.5028,-13.5261,77.9686,0.669297,-0.161006,-0.725340,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.203,1.4619,42.2259,4.4365,0.9389,,,3.1537,4.9447,8.0985
51,431177.264541,431177.264541,6.9124,-2.6169,134.7075,43.4762,-12.1921,77.9686,0.672534,-0.145309,-0.725660,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.918,1.4619,42.2259,4.4501,0.9333,,,3.0822,4.2375,7.3197
52,431177.312267,431177.312267,6.7927,-2.5953,134.7835,42.8123,-10.4769,77.9686,0.668268,-0.123578,-0.733584,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.348,1.4619,42.2259,4.6739,0.9500,,,3.2110,3.6390,6.8500
53,431177.343714,431177.343714,6.8980,-2.6080,134.6721,44.0084,-13.8815,77.9686,0.674473,-0.166684,-0.719238,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.627,1.4619,42.2259,4.4763,0.9333,,,3.1275,3.9632,7.0908
54,431177.368741,431177.368741,7.0072,-2.8217,134.7255,43.5225,-12.1839,77.9686,0.673128,-0.145338,-0.725104,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.271,1.4619,42.2259,4.5171,0.9556,,,2.9908,3.7124,6.7032
55,431177.402612,431177.402612,6.9982,-2.6309,134.6663,43.6810,-13.6629,77.9686,0.671099,-0.163136,-0.723196,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.032,1.4619,42.2259,4.4199,0.9667,,,3.1575,4.0960,7.2535
56,431177.432812,431177.432812,6.9991,-2.5114,134.6103,43.8784,-13.4795,77.9686,0.674037,-0.161566,-0.720813,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.235,1.4619,42.2259,4.5287,0.9111,,,3.3222,3.3922,6.7143
57,431177.464004,431177.464004,6.9656,-2.5742,134.6815,43.5586,-13.1074,77.9686,0.671143,-0.156272,-0.724670,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.410,1.4619,42.2259,4.3958,0.9222,,,3.2147,3.4467,6.6614
58,431177.496734,431177.496734,6.9481,-2.7474,134.7279,43.3990,-12.2955,77.9686,0.671315,-0.146316,-0.726586,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.581,1.4619,42.2259,4.3309,1.0000,,,2.9742,5.4203,8.3945
59,431177.530793,431177.530793,7.1006,-2.5866,134.6325,42.7455,-14.8620,77.9686,0.656037,-0.174093,-0.734375,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.870,1.4619,42.2259,4.5042,0.9389,,,2.9872,3.7867,6.7740
60,431177.564307,431177.564307,6.8665,-2.5700,134.6609,43.4717,-12.1093,77.9686,0.672688,-0.144327,-0.725714,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.016,1.4619,42.2259,4.4846,0.9222,,,3.4528,4.3684,7.8212
