# generated, 2026-09-01T15:53:21+00:00
# source, results/flights/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
45,431177.049059,431177.049059,6.9593,-2.7484,134.8363,43.0575,-12.3223,77.8613,0.667003,-0.145703,-0.730669,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.142,0.4641,39.8854,4.7512,0.9333,,,9.6163,3.7311,13.3474
46,431177.073720,431177.073720,7.0559,-2.4909,134.7015,43.3821,-13.3804,77.8613,0.668216,-0.158950,-0.726789,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.794,0.4641,39.8854,4.8396,0.8889,,,9.2216,4.7842,14.0058
47,431177.103985,431177.103985,6.9908,-2.4812,134.7377,42.4420,-13.0875,77.8613,0.657315,-0.152811,-0.737960,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.961,0.4641,39.8854,4.8783,0.8667,,,10.1385,4.3213,14.4598
48,431177.152811,431177.152811,7.0185,-2.4874,134.7303,43.2994,-11.2868,77.8613,0.672547,-0.134227,-0.727780,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.495,0.4641,39.8854,4.8868,0.8333,,,9.6191,5.6657,15.2848
49,431177.188237,431177.188237,6.9673,-2.6640,134.6550,43.3537,-12.8088,77.8613,0.669417,-0.152196,-0.727130,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.046,0.4641,39.8854,4.7583,0.9278,,,9.9252,3.5405,13.4657
50,431177.232725,431177.232725,6.9458,-2.5307,134.7550,43.2695,-11.3394,77.8613,0.672051,-0.134770,-0.728138,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.011,0.4641,39.8854,4.7808,0.8500,,,10.0505,3.6289,13.6794
51,431177.264541,431177.264541,7.0320,-2.5488,134.6402,43.0268,-11.5021,77.8613,0.668637,-0.136061,-0.731035,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.267,0.4641,39.8854,4.8349,0.9000,,,10.6755,3.3528,14.0282
52,431177.312267,431177.312267,7.0569,-2.4606,134.6436,43.7205,-12.5136,77.8613,0.674723,-0.149751,-0.722719,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.982,0.4641,39.8854,5.0239,0.8389,,,10.2188,5.0629,15.2817
53,431177.343714,431177.343714,7.2047,-2.5351,134.3776,44.3585,-16.7485,77.8613,0.669487,-0.201474,-0.714979,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,3.012,0.4641,39.8854,5.4790,0.8944,,,13.7488,6.0245,19.7733
54,431177.368741,431177.368741,6.9650,-2.7038,134.7522,43.2331,-12.9461,77.8613,0.667558,-0.153456,-0.728572,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.862,0.4641,39.8854,4.6946,0.9333,,,14.7844,6.8972,21.6816
55,431177.402612,431177.402612,6.8738,-2.5705,134.5746,44.4802,-14.1907,77.8613,0.679282,-0.171768,-0.713493,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.516,0.4641,39.8854,5.2313,0.9056,,,19.1065,3.6339,22.7404
56,431177.432812,431177.432812,7.0335,-2.4812,134.7339,43.0826,-11.6976,77.8613,0.668866,-0.138486,-0.730369,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.220,0.4641,39.8854,4.8228,0.8278,,,15.8306,5.4870,21.3177
57,431177.464004,431177.464004,6.9967,-2.4988,134.8173,43.3254,-11.8727,77.8613,0.671463,-0.141166,-0.727468,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.271,0.4641,39.8854,4.8887,0.8389,,,10.2332,4.4329,14.6661
58,431177.496734,431177.496734,7.0711,-2.5765,134.7471,43.3200,-12.8969,77.8613,0.668765,-0.153130,-0.727533,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.703,0.4641,39.8854,4.7653,0.9056,,,12.0572,6.4355,18.4927
59,431177.530793,431177.530793,7.0390,-2.4979,134.7141,43.3934,-11.8654,77.8613,0.672325,-0.141257,-0.726653,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.712,0.4641,39.8854,4.8232,0.8389,,,11.3194,8.1143,19.4338
60,431177.564307,431177.564307,7.0200,-2.5075,134.7419,43.3901,-10.4443,77.8613,0.675580,-0.124532,-0.726693,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.976,0.4641,39.8854,4.9184,0.8444,,,13.7497,8.7080,22.4577
61,431177.589044,431177.589044,6.9756,-2.5195,134.9130,42.8236,-9.0519,77.8613,0.671278,-0.106944,-0.733450,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.107,0.4641,39.8854,5.1366,0.8833,,,9.9960,3.8139,13.8099
62,431177.616727,431177.616727,7.2491,-2.3866,134.7685,41.4165,-12.7613,77.8613,0.645187,-0.146125,-0.749921,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.858,0.4641,39.8854,5.5039,0.8389,,,9.2768,3.4973,12.7742
63,431177.653254,431177.653254,7.1029,-2.5092,134.6872,42.3865,-15.3668,77.8613,0.650027,-0.178642,-0.738614,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.992,0.4641,39.8854,5.1538,0.9056,,,10.3060,4.7283,15.0342
64,431177.677223,431177.677223,7.0163,-2.5642,134.6362,43.4970,-13.6385,77.8613,0.668907,-0.162302,-0.725411,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.618,0.4641,39.8854,4.9203,0.9056,,,9.9697,4.8145,14.7842
