d,tilt_deg,f,amp,pitch,model,phase_err_deg,z_eq,k_z,G_n,C_grad,C_grad_fixed_m,C_tilt,C_net,k_z_fixed_m,trace_resid,trace_resid_fixed_m,B_mean,lock,ellipticity,kappa_t,Omega_align,lambda_grad,R,max_re_root,clearance,stage,axis,factor
0.034,4.0,70.0,1.25,0.021,dipole,0.0,0.012562104654737,-0.2247043605475981,-24.750255462604237,0.1123857746090837,0.1123857744212614,-0.008216580157103,0.1041691944519807,-0.2247715243077418,6.718867056934585e-05,2.4534780956875224e-08,0.0054510849727838,0.0743781139180472,1.0,9.854567340699737e-06,6.672677799952234,36.67244154095137,0.1819534647700233,36.53149192709385,0.0001240141532523,A,,
0.034,4.0,75.0,1.25,0.021,dipole,0.0,0.012781298166839,-0.2197396243134908,-22.16270194836899,0.1099051535040354,0.1099051532724588,-0.0084461844839518,0.1014589690200835,-0.2198102903460297,7.068269458010423e-05,1.6198887869967038e-08,0.0054791747468475,0.084945310558921,1.0,9.896960259593647e-06,6.254623845590713,36.26545927922175,0.1724677963522798,36.12722583387885,0.0003432076653543,A,,
0.034,4.0,80.0,1.25,0.021,dipole,0.0,0.0130212875650228,-0.2141545786312159,-19.432828590174932,0.1071123202235742,0.1071123199446771,-0.0084261914873818,0.0986861287361924,-0.2142246324815099,7.00618159325539e-05,7.407844421214449e-09,0.0055065794518467,0.0961678922170866,1.0,9.936273948733482e-06,5.887002266285551,35.80171794624372,0.1644335133617019,35.66658008590975,0.0005831970635381,A,,
0.034,4.0,85.0,1.25,0.021,dipole,0.0,0.0132839849344082,-0.2078890107394532,-16.562129493082526,0.103976816583467,0.1039768162548287,-0.0081071714541507,0.0958696451293163,-0.2079536342977129,6.462242748092595e-05,-1.7880555369664819e-09,0.0055326611466715,0.1080527470292879,1.0,9.971100683114876e-06,5.560128249444539,35.27381327906872,0.1576276487448519,35.14222558298944,0.0008458944329235,A,,
0.034,4.0,90.0,1.25,0.021,dipole,0.0,0.0135718027619089,-0.2008749122071651,-13.55042530737412,0.1004645579894368,0.100464557610114,-0.0074362379117019,0.0930283200777348,-0.2009291265450967,5.420377170853308e-05,-1.1324868626205742e-08,0.0055566707063674,0.1206152971993954,1.0,9.99980689032683e-06,5.266350221600642,34.672933945331195,0.1518864896147552,34.545467033774756,0.0011337122604242,A,,
0.034,4.0,95.0,1.25,0.021,dipole,0.0,0.0138878203850068,-0.1930343803501161,-10.395411902858026,0.096536945084818,0.0965369446556919,-0.006356297903691,0.090180647181127,-0.1930739104329053,3.95098195200283e-05,-2.112152136524159e-08,0.005577712428078,0.1338822875976417,1.0,1.0020463050276234e-05,4.999479810562483,33.988416304053246,0.1470936381924413,33.86581803188291,0.0014497298835221,A,,
0.034,4.0,100.0,1.25,0.021,dipole,0.0,0.0142360295332192,-0.1842765875150029,-7.092026138237751,0.0921495619762617,0.0921495615003995,-0.0048049144323135,0.0873446475439481,-0.1842991540758001,2.2536437520592756e-05,-3.10750011278671e-08,0.0055946919465378,0.1478958047060495,1.0,1.0030740390473532e-05,4.754377080657409,33.207087834954535,0.1431735629540162,33.09037990736459,0.0017979390317344,A,,
0.034,4.0,105.0,1.25,0.021,dipole,0.0,0.0146217091149372,-0.1744932947261473,-3.6315144775195263,0.0872502252759521,0.087250224758989,-0.0027125747103068,0.0845376505656453,-0.1745004905713467,7.155825756915979e-06,-4.1053368621257746e-08,0.0056062370296545,0.1627193406398346,1.0,1.0027753724660953e-05,4.526629960748216,32.31226722251506,0.1400901375807537,32.20290597027225,0.0021836186134525,A,,
0.034,4.0,110.0,1.25,0.021,dipole,0.0,0.0150520233648335,-0.163551933260529,1.637642702112251e-05,0.0817759428354002,0.0817759422859519,1.3425171890485915e-08,0.0817759562605721,-0.163551935458326,-4.7589728546793e-08,-5.0886422159335254e-08,0.0056105721881316,0.1784474100185068,1.0,1.0007812683495389e-05,4.312281627885695,31.28217442952602,0.1378510831336424,31.182334312740927,0.0026139328633488,A,,
0.034,4.0,115.0,1.25,0.021,dipole,0.0,0.0155370310638531,-0.1512843301797772,3.824005905550971,0.0756479106368252,0.0756479100669497,0.0034263329712616,0.0790742436080868,-0.1512958804842048,1.1491093873300384e-05,-6.035030530870955e-08,0.0056053095572895,0.1952217098101889,1.0,9.966007054831422e-06,4.1075606353619225,30.087258825254136,0.1365215973717814,30.00036789262466,0.0030989405623684,A,,
0.034,4.0,120.0,1.25,0.021,dipole,0.0,0.0160915033668437,-0.1374671935958849,7.873679549761932,0.0687627934498755,0.068762792875623,0.0076816684405774,0.0764444618904529,-0.1375256548940585,5.839330386611663e-05,-6.91428124754978e-08,0.0055870758587813,0.2132602712651289,1.0,9.89546764295278e-06,3.908550343960926,28.685399917968283,0.1362557382897996,28.61724134686788,0.003653412865359,A,,
