Time,Channel A
(s),(V)

6.70666823,0.32464936
6.72000157,0.27835876
6.73333491,0.32464936
6.74666824,0.23191437
6.76000158,0.27835876
6.77333492,0.18546999
6.78666825,0.18546999
6.80000159,0.04629060
6.81333493,0.04629060
6.82666826,0.04629060
6.84000160,0.13917938
6.85333494,0.23191437
6.86666827,0.23191437
6.88000161,0.27835876
6.89333494,0.27835876
6.90666828,0.27835876
6.92000162,0.32464936
6.93333495,0.27835876
6.94666829,0.27835876
6.96000163,0.27835876
6.97333496,0.23191437
6.98666830,0.13917938
7.00000164,0.04629060
7.01333497,0.04629060
7.02666831,0.09273499
7.04000165,0.13917938
7.05333498,0.18546999
7.06666832,0.27835876
7.08000166,0.27835876
7.09333499,0.32464936
7.10666833,0.32464936
7.12000166,0.27835876
7.13333500,0.32464936
7.14666834,0.27835876
7.16000167,0.27835876
7.17333501,0.23191437
7.18666835,0.18546999
7.20000168,0.00000000
7.21333502,0.04629060
7.22666836,0.09273499
7.24000169,0.13917938
7.25333503,0.23191437
7.26666837,0.27835876
7.28000170,0.32464936
7.29333504,0.32464936
7.30666837,0.32464936
7.32000171,0.32464936
7.33333505,0.32464936
7.34666838,0.32464936
7.36000172,0.27835876
7.37333506,0.23191437
7.38666839,0.18546999
7.40000173,0.00000000
7.41333507,0.00000000
7.42666840,0.09273499
7.44000174,0.13917938
7.45333508,0.23191437
7.46666841,0.27835876
7.48000175,0.32464936
7.49333508,0.32464936
7.50666842,0.37109375
7.52000176,0.37109375
7.53333509,0.32464936
7.54666843,0.32464936
7.56000177,0.27835876
7.57333510,0.23191437
7.58666844,0.23191437
7.60000178,0.04629060
7.61333511,0.00000000
7.62666845,0.09273499
7.64000179,0.18546999
7.65333512,0.23191437
7.66666846,0.27835876
7.68000180,0.32464936
7.69333513,0.32464936
7.70666847,0.37109375
7.72000180,0.37109375
7.73333514,0.37109375
7.74666848,0.32464936
7.76000181,0.27835876
7.77333515,0.27835876
7.78666849,0.23191437
7.80000182,0.04629060
7.81333516,0.00000000
7.82666850,0.09273499
7.84000183,0.18546999
7.85333517,0.23191437
7.86666851,0.27835876
7.88000184,0.37109375
7.89333518,0.37109375
7.90666851,0.37109375
7.92000185,0.32464936
7.93333519,0.37109375
7.94666852,0.37109375
7.96000186,0.32464936
7.97333520,0.27835876
7.98666853,0.23191437
8.00000187,0.00000000
8.01333521,0.04629060
8.02666854,0.13917938
8.04000188,0.18546999
8.05333522,0.23191437
8.06666855,0.32464936
8.08000189,0.37109375
8.09333523,0.37109375
8.10666856,0.37109375
8.12000190,0.37109375
8.13333523,0.32464936
8.14666857,0.37109375
