# generated, 2026-08-15T22:04:08+00:00
# source, camera:0
# radius_mm, 10.2446
# axial, True
# fps_measured, 120.3796171216232
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
42,664711.157887,664711.157887,1.1247,3.5822,21.7753,51.4789,105.1080,11.6425,-0.203918,0.755337,-0.622802,-3.3194,-0.0878,-16.4984,627.531,454.025,1431.790,776.635,11.642,519686.0,40.9933,107.981,2,1.198,5.3314,0.3940,5.7254
43,664711.164874,664711.164874,1.2147,3.5088,22.1107,50.9011,102.5954,9.2287,-0.169231,0.757382,-0.630661,-4.6760,-1.5960,-12.3004,623.514,446.483,1404.446,775.696,9.229,519922.0,40.6918,106.797,2,2.041,6.7412,0.6254,7.3666
44,664711.173065,664711.173065,1.1182,3.5788,21.7567,51.6012,105.1715,11.7222,-0.205104,0.756392,-0.621131,-6.6538,-0.6220,-18.5355,627.441,454.001,1433.583,775.140,11.722,519786.0,40.6629,108.213,2,2.128,8.0392,0.4443,8.4835
45,664711.181348,664711.181348,1.0985,3.5486,21.7340,52.1736,105.4306,12.0531,-0.210162,0.761400,-0.613272,-6.8958,-0.6681,-16.8302,627.050,452.982,1437.088,766.383,12.053,519501.0,42.9328,109.238,2,0.608,8.7310,3.3250,12.0560
46,664711.200518,664711.200518,1.1163,3.5776,21.7548,51.5739,105.0494,11.6131,-0.203414,0.756542,-0.621504,-2.2749,0.6349,-0.5479,626.946,453.764,1433.586,775.584,11.613,519763.0,40.8389,108.171,2,0.670,9.6552,0.4356,10.0908
47,664711.205986,664711.205986,1.0924,3.5452,21.7322,52.2175,105.4553,12.0906,-0.210616,0.761762,-0.612666,-1.5828,0.0165,0.9212,626.687,452.827,1437.335,765.724,12.091,519697.0,42.6188,109.315,2,0.718,8.0692,0.4541,8.5233
48,664711.214236,664711.214236,1.1193,3.5797,21.7581,51.5960,105.1610,11.7105,-0.204949,0.756375,-0.621203,-0.2767,0.5895,2.1571,627.479,454.057,1433.468,775.136,11.710,519821.0,40.6875,108.208,2,0.663,7.5229,0.4382,7.9611
49,664711.220807,664711.220807,1.1237,3.5855,21.7662,51.4610,105.1650,11.6915,-0.204619,0.754946,-0.623047,0.4022,0.8695,2.3849,627.707,454.264,1432.450,777.258,11.691,519513.0,40.8895,107.949,2,0.135,6.1034,0.5424,6.6458
50,664711.229217,664711.229217,1.1215,3.5799,21.7633,51.5486,105.1595,11.7006,-0.204796,0.755884,-0.621850,0.6196,0.7205,1.7250,627.572,453.995,1432.930,775.890,11.701,519777.0,40.7538,108.108,2,0.088,6.6851,1.8257,8.5108
51,664711.236815,664711.236815,1.0851,3.5448,21.7154,52.3190,105.5239,12.1738,-0.211818,0.762554,-0.611265,-0.1707,-0.2309,-0.4974,626.525,453.021,1438.938,764.367,12.174,519272.0,42.4463,109.521,2,0.822,8.4788,0.3788,8.8576
