index,t_capture,skew_s,t_a,t_b
39574,585384.332955,0.000650,585384.332630,585384.333280
39575,585384.336496,0.000766,585384.336879,585384.336113
39576,585384.341228,0.000938,585384.341697,585384.340759
39577,585384.344803,0.000706,585384.345156,585384.344450
39578,585384.348905,0.000590,585384.349200,585384.348610
39579,585384.355318,0.002973,585384.353831,585384.356804
39580,585384.363079,0.000216,585384.362971,585384.363187
39581,585384.368466,0.000643,585384.368787,585384.368144
39582,585384.372159,0.001985,585384.371166,585384.373151
39583,585384.375583,0.001634,585384.376400,585384.374766
39584,585384.379866,0.003110,585384.378311,585384.381421
39585,585384.385291,0.000641,585384.384971,585384.385612
39586,585384.389753,0.000882,585384.389312,585384.390194
39587,585384.393661,0.000869,585384.393227,585384.394095
39588,585384.396703,0.000616,585384.396395,585384.397011
39589,585384.401051,0.000602,585384.401352,585384.400750
39590,585384.409200,0.000635,585384.408883,585384.409518
39591,585384.412652,0.000646,585384.412329,585384.412976
39592,585384.418976,0.001576,585384.419764,585384.418188
39593,585384.420928,0.000860,585384.421358,585384.420498
39594,585384.427988,0.000884,585384.428430,585384.427546
39595,585384.432906,0.006625,585384.429593,585384.436218
39596,585384.436946,0.000686,585384.436603,585384.437289
39597,585384.444961,0.000264,585384.445093,585384.444829
39598,585384.450121,0.000237,585384.450240,585384.450003
39599,585384.450853,0.000798,585384.451252,585384.450454
39600,585384.455292,0.004671,585384.452957,585384.457628
39601,585384.461724,0.000274,585384.461587,585384.461861
39602,585384.465175,0.000668,585384.464841,585384.465509
39603,585384.468520,0.000389,585384.468326,585384.468715
39604,585384.475222,0.001589,585384.476017,585384.474427
39605,585384.477806,0.002833,585384.479223,585384.476390
39606,585384.485408,0.000687,585384.485065,585384.485752
39607,585384.489889,0.000886,585384.489445,585384.490332
39608,585384.493052,0.000945,585384.492579,585384.493524
39609,585384.496185,0.000599,585384.496485,585384.495885
39610,585384.501805,0.000651,585384.501479,585384.502131
39611,585384.509982,0.000539,585384.509713,585384.510252
39612,585384.512751,0.000611,585384.513056,585384.512446
39613,585384.518515,0.001370,585384.519201,585384.517830
39614,585384.520388,0.000932,585384.520854,585384.519922
39615,585384.526392,0.000216,585384.526500,585384.526284
39616,585384.528848,0.000705,585384.529201,585384.528496
39617,585384.537024,0.000845,585384.536601,585384.537446
39618,585384.541759,0.000870,585384.541324,585384.542194
39619,585384.548276,0.001147,585384.548850,585384.547702
39620,585384.549814,0.001194,585384.550411,585384.549217
39621,585384.551192,0.000764,585384.551574,585384.550810
39622,585384.560092,0.000558,585384.560371,585384.559813
