# skew_n, 3232
# skew_median_ms, 1.0082090157084167
# skew_p95_ms, 8.434141619363798
# skew_max_ms, 28.510916978120804
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
186,342570.502985,0.008791,342570.507381,342570.498590
187,342570.522889,0.000906,342570.522436,342570.523342
188,342570.546274,0.000970,342570.546759,342570.545788
189,342570.570652,0.000905,342570.571104,342570.570199
190,342570.594293,0.000953,342570.594769,342570.593816
191,342570.610975,0.001387,342570.611668,342570.610281
192,342570.635095,0.000938,342570.634626,342570.635564
193,342570.658928,0.001011,342570.658423,342570.659433
194,342570.674705,0.000395,342570.674508,342570.674903
195,342570.697828,0.001430,342570.697113,342570.698543
196,342570.722686,0.001145,342570.723258,342570.722114
197,342570.738760,0.001093,342570.739307,342570.738214
198,342570.762716,0.000959,342570.763196,342570.762237
199,342570.786865,0.001218,342570.787474,342570.786256
200,342570.803199,0.000955,342570.803677,342570.802722
201,342570.826923,0.000957,342570.826445,342570.827402
202,342570.850877,0.000543,342570.850605,342570.851148
203,342570.867777,0.001867,342570.868710,342570.866843
204,342570.891206,0.001250,342570.890581,342570.891831
205,342570.911231,0.008231,342570.907115,342570.915347
206,342570.931140,0.000967,342570.931623,342570.930656
207,342570.955327,0.001021,342570.954816,342570.955837
208,342570.972023,0.000829,342570.972437,342570.971608
209,342570.994777,0.002211,342570.995883,342570.993671
210,342571.017825,0.001301,342571.017175,342571.018476
211,342571.042815,0.000726,342571.043178,342571.042452
212,342571.060116,0.008429,342571.055902,342571.064331
213,342571.081743,0.001368,342571.082427,342571.081059
214,342571.094846,0.006712,342571.091490,342571.098202
215,342571.124298,0.000826,342571.124711,342571.123885
216,342571.147278,0.000966,342571.147761,342571.146795
217,342571.166585,0.008300,342571.162435,342571.170735
218,342571.188014,0.000970,342571.188499,342571.187529
219,342571.211021,0.001528,342571.210257,342571.211785
220,342571.230273,0.007943,342571.226301,342571.234244
221,342571.251536,0.000806,342571.251939,342571.251133
222,342571.274446,0.000964,342571.273964,342571.274928
223,342571.295101,0.007534,342571.291334,342571.298868
224,342571.315281,0.001023,342571.314770,342571.315793
225,342571.338648,0.000937,342571.339117,342571.338180
226,342571.354841,0.001028,342571.355355,342571.354327
227,342571.378637,0.001241,342571.378016,342571.379257
228,342571.403082,0.000976,342571.402593,342571.403570
229,342571.422613,0.006665,342571.419280,342571.425945
230,342571.439597,0.007704,342571.443449,342571.435745
231,342571.467265,0.001852,342571.466339,342571.468191
232,342571.486209,0.007975,342571.482221,342571.490196
233,342571.507777,0.000927,342571.508241,342571.507314
234,342571.530713,0.000908,342571.530260,342571.531167
235,342571.551026,0.006820,342571.547616,342571.554436
236,342571.571656,0.001086,342571.572199,342571.571113
237,342571.595342,0.001049,342571.594818,342571.595867
238,342571.615465,0.006002,342571.618466,342571.612464
239,342571.635506,0.002000,342571.636506,342571.634507
240,342571.658584,0.001000,342571.659084,342571.658084
241,342571.682503,0.000936,342571.682035,342571.682971
242,342571.699578,0.001002,342571.699077,342571.700079
243,342571.724239,0.001328,342571.724903,342571.723575
244,342571.745721,0.000982,342571.746212,342571.745231
245,342571.762668,0.000907,342571.763122,342571.762215
246,342571.783474,0.008438,342571.779255,342571.787693
247,342571.807000,0.006712,342571.810356,342571.803644
248,342571.828973,0.001061,342571.828442,342571.829503
249,342571.851433,0.000640,342571.851112,342571.851753
250,342571.867293,0.000908,342571.867747,342571.866839
251,342571.890910,0.001270,342571.890275,342571.891545
252,342571.913467,0.001446,342571.912744,342571.914190
253,342571.934318,0.006160,342571.937398,342571.931238
254,342571.953586,0.000926,342571.954049,342571.953123
255,342571.978777,0.001508,342571.978023,342571.979531
256,342571.995847,0.000943,342571.995376,342571.996319
257,342572.015541,0.008668,342572.011207,342572.019875
258,342572.043133,0.001016,342572.043641,342572.042625
259,342572.059739,0.001381,342572.059048,342572.060429
260,342572.083642,0.001345,342572.084315,342572.082970
261,342572.103604,0.007106,342572.100051,342572.107157
262,342572.119846,0.007021,342572.123357,342572.116336
263,342572.146540,0.000828,342572.146126,342572.146954
264,342572.162774,0.001042,342572.163295,342572.162253
265,342572.188872,0.000869,342572.189306,342572.188437
266,342572.211814,0.000945,342572.212286,342572.211341
267,342572.231642,0.003751,342572.233518,342572.229767
268,342572.249788,0.001304,342572.250440,342572.249135
269,342572.273754,0.000915,342572.273297,342572.274211
270,342572.293211,0.007679,342572.297051,342572.289371
271,342572.313965,0.000804,342572.313563,342572.314367
272,342572.337564,0.001260,342572.336934,342572.338194
273,342572.357525,0.006928,342572.354061,342572.360988
274,342572.378539,0.000999,342572.379038,342572.378039
275,342572.403416,0.000693,342572.403763,342572.403070
