design,freq_hz,n,t_s,delta_med,delta_q25,delta_q75,env_med,env_q25,env_q75
design 1,10.0,22,3.36,0.3595,0.1378,0.5,3.1097,2.8075,3.8044
design 1,10.0,22,3.38,0.3796,0.2182,0.4645,3.1382,2.8773,3.8736
design 1,10.0,22,3.4,0.471,0.3018,0.6549,3.0732,2.9106,3.9357
design 1,10.0,22,3.42,0.3836,0.2134,0.5879,3.1032,2.8521,3.8464
design 1,10.0,22,3.44,0.3959,0.2917,0.6027,3.072,2.8414,3.8525
design 1,10.0,22,3.46,0.3983,0.306,0.7871,3.0791,2.7158,3.709
design 1,10.0,22,3.48,0.4235,0.2993,0.6311,3.0103,2.6796,3.5869
design 1,10.0,22,3.5,0.3374,0.2318,0.5823,3.0222,2.719,3.4606
design 1,10.0,22,3.52,0.407,0.2884,0.5874,2.9841,2.7491,3.4841
design 1,10.0,22,3.54,0.3726,0.3179,0.6898,3.0055,2.7616,3.4381
design 1,10.0,22,3.56,0.4598,0.2802,0.5895,2.8753,2.7757,3.5384
design 1,10.0,22,3.58,0.3436,0.2744,0.5074,2.8508,2.707,3.2718
design 1,10.0,22,3.6,0.3974,0.2619,0.6757,2.8614,2.5981,3.2996
design 1,10.0,22,3.62,0.4116,0.2479,0.5924,2.9073,2.7062,3.267
design 1,10.0,22,3.64,0.4062,0.2933,0.5373,2.9116,2.7118,3.3409
design 1,10.0,22,3.66,0.335,0.2095,0.738,2.9606,2.6882,3.3729
design 1,10.0,22,3.68,0.3688,0.2083,0.6238,2.9414,2.7262,3.5294
design 1,10.0,22,3.7,0.4502,0.2388,0.6553,2.9351,2.7772,3.6357
design 1,10.0,22,3.72,0.3554,0.2039,0.5569,2.9827,2.8023,3.4929
design 1,10.0,22,3.74,0.436,0.2609,0.5925,3.0134,2.7362,3.4917
design 1,10.0,22,3.76,0.4399,0.3301,0.6512,2.9998,2.8245,3.4179
design 1,10.0,22,3.78,0.416,0.3084,0.7516,3.0119,2.7968,3.384
design 1,10.0,22,3.8,0.4831,0.3439,0.6619,3.0172,2.8334,3.3982
design 1,10.0,22,3.82,0.4102,0.3044,0.5617,3.1502,2.7652,3.3904
design 1,10.0,22,3.84,0.3754,0.1744,0.51,3.0743,2.7934,3.4274
design 1,10.0,22,3.86,0.2939,0.1895,0.5102,3.2016,2.7598,3.4434
design 1,10.0,22,3.88,0.32,0.1742,0.4477,3.1786,2.7388,3.5284
design 1,10.0,22,3.9,0.3768,0.2833,0.4428,3.1359,2.7624,3.4081
design 1,10.0,22,3.92,0.3238,0.2378,0.4695,3.09,2.7785,3.3531
design 1,10.0,22,3.94,0.3831,0.2708,0.4743,3.1156,2.6422,3.3205
design 1,10.0,22,3.96,0.3421,0.1773,0.4308,3.1608,2.6808,3.4924
design 1,10.0,22,3.98,0.342,0.1531,0.447,3.1158,2.7131,3.4239
design 1,10.0,22,4.0,0.3532,0.3004,0.547,3.0954,2.6933,3.4932
design 1,10.0,22,4.02,0.3983,0.2626,0.54,3.0673,2.6995,3.4417
design 1,10.0,22,4.04,0.3539,0.1907,0.6458,3.1322,2.7013,3.3797
design 1,10.0,22,4.06,0.404,0.2589,0.547,3.1545,2.72,3.4391
design 1,10.0,22,4.08,0.3577,0.2292,0.6684,3.2087,2.7419,3.4178
design 1,10.0,22,4.1,0.4442,0.2875,0.6992,3.1969,2.7655,3.4035
design 1,10.0,22,4.12,0.4325,0.2639,0.5969,3.1627,2.7982,3.3696
