frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg,longest_width_px
236,8.03015270018622,True,109.75,113.85,0.9982,0.0606,3.47,138.18
237,8.06417877094972,True,110.71,113.7,0.9981,0.0613,3.51,141.99
238,8.098204841713223,True,111.14,112.93,0.996,0.0892,5.12,190.47
239,8.132230912476723,True,111.38,112.93,0.9978,0.0669,3.83,159.17
240,8.166256983240224,True,111.12,113.86,0.998,0.0635,3.64,139.45
241,8.200283054003725,True,110.9,113.74,0.9979,0.065,3.72,141.3
242,8.234309124767226,True,109.67,112.87,0.9962,0.0875,5.02,172.3
243,8.268335195530726,True,108.39,112.89,0.9962,0.0871,5.0,171.3
244,8.302361266294227,True,107.19,113.69,0.9981,0.0612,3.51,136.84
245,8.336387337057728,True,105.93,112.83,0.9976,0.0687,3.94,150.59
246,8.370413407821228,True,105.09,113.51,0.998,0.063,3.61,136.49
247,8.404439478584731,True,103.61,113.55,0.9976,0.0686,3.94,139.13
248,8.438465549348232,True,103.25,112.65,0.9959,0.0903,5.18,175.18
249,8.472491620111732,True,103.03,112.73,0.9955,0.0948,5.44,183.21
250,8.506517690875233,True,103.33,113.79,0.9978,0.0668,3.83,138.88
251,8.540543761638734,True,104.17,113.83,0.9977,0.0676,3.88,138.93
252,8.574569832402235,True,105.21,113.92,0.9978,0.0659,3.78,136.31
253,8.608595903165735,True,107.19,114.08,0.9986,0.0537,3.08,130.26
254,8.642621973929236,True,108.34,113.24,0.9975,0.07,4.01,157.07
255,8.676648044692739,True,109.14,114.09,0.9995,0.0318,1.82,121.98
256,8.71067411545624,True,110.68,114.03,0.9981,0.0617,3.54,138.71
257,8.74470018621974,True,111.46,113.31,0.9978,0.0665,3.81,156.42
258,8.77872625698324,True,111.93,114.13,0.9983,0.0577,3.31,131.41
259,8.812752327746741,True,111.49,113.25,0.9978,0.0662,3.79,156.31
260,8.846778398510242,True,111.17,113.97,0.9984,0.0566,3.24,138.94
261,8.880804469273743,True,109.81,113.21,0.9982,0.0603,3.46,151.55
262,8.914830540037244,True,109.16,114.04,0.9984,0.0559,3.2,135.07
263,8.948856610800744,True,106.87,113.18,0.9982,0.0599,3.44,151.77
