frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg_major,line_angle_deg_minor,longest_width_px,contour_area_px,final_combined_angle_deg,minor_len_px,top_ellipse_major_len_px,top_ellipse_minor_len_px,axis_x,axis_y,axis_z
114,3.8789720670391064,True,265.12,405.11,0.9997,0.0248,1.42,86.54,136.18,2762.0,86.54,28.35,136.18,8.23,0.0604,0.0015,0.9982
115,3.912998137802607,True,266.45,405.13,0.9997,0.0257,1.47,86.17,135.19,2749.0,86.17,26.44,135.19,9.03,0.0668,0.0017,0.9978
116,3.9470242085661082,True,267.33,405.22,0.9997,0.0262,1.5,86.54,135.19,2778.0,86.54,28.57,135.19,8.16,0.0604,0.0016,0.9982
117,3.981050279329609,True,267.89,405.16,0.9997,0.0251,1.44,86.28,136.18,2792.0,86.28,26.47,136.18,8.83,0.0648,0.0016,0.9979
118,4.01507635009311,True,268.48,405.16,0.9997,0.0263,1.51,86.55,135.19,2795.0,86.55,28.44,135.19,8.13,0.0601,0.0016,0.9982
119,4.049102420856611,True,269.12,405.08,0.9997,0.0242,1.38,85.8,136.18,2841.0,85.8,28.29,136.18,9.99,0.0733,0.0018,0.9973
120,4.083128491620112,True,269.16,404.96,0.9997,0.0234,1.34,85.82,136.17,2847.0,85.82,28.1,136.17,9.93,0.0729,0.0017,0.9973
121,4.117154562383613,True,268.67,404.83,0.9997,0.0242,1.39,85.73,135.18,2860.0,85.73,27.82,135.18,10.07,0.0745,0.0018,0.9972
122,4.1511806331471135,True,268.37,404.79,0.9998,0.0217,1.24,85.88,136.16,2876.0,85.88,27.73,136.16,9.79,0.0719,0.0016,0.9974
123,4.185206703910614,True,267.17,404.71,0.9997,0.026,1.49,85.83,136.19,2921.0,85.83,27.62,136.19,9.9,0.0726,0.0019,0.9974
124,4.219232774674116,True,266.26,404.51,0.9997,0.0256,1.47,84.75,136.19,2938.0,84.75,29.21,136.19,12.46,0.0915,0.0023,0.9958
125,4.253258845437617,True,265.43,404.41,0.9997,0.0256,1.47,84.73,136.16,2917.0,84.73,29.0,136.16,12.5,0.0918,0.0024,0.9958
126,4.287284916201117,True,265.07,404.5,0.9996,0.0267,1.53,85.32,136.19,2930.0,85.32,29.14,136.19,11.12,0.0816,0.0022,0.9967
127,4.321310986964618,True,264.34,404.5,0.9996,0.0282,1.61,84.97,136.2,2931.0,84.97,29.15,136.2,11.94,0.0876,0.0025,0.9961
