frame,t,nx,ny,nz,agree_deg
268,607463.225301,0.43004,-0.76619,-0.47751,1.02
269,607463.229454,0.43162,-0.76367,-0.48012,1.12
270,607463.232627,0.43116,-0.76275,-0.48198,1.1
271,607463.237109,0.4321,-0.76032,-0.48498,1.12
272,607463.24553,0.43188,-0.76422,-0.47902,0.82
273,607463.248923,0.43206,-0.76056,-0.48465,1.14
274,607463.252956,0.43022,-0.76441,-0.4802,0.88
275,607463.256445,0.42925,-0.76342,-0.48263,0.98
276,607463.260468,0.4345,-0.7636,-0.47762,1.59
277,607463.269484,0.4315,-0.759,-0.48757,1.02
278,607463.274388,0.42856,-0.76479,-0.48107,0.68
279,607463.277925,0.4283,-0.76517,-0.48069,0.97
280,607463.280719,0.43378,-0.76494,-0.47613,1.23
281,607463.284917,0.43217,-0.76378,-0.47945,1.31
282,607463.294549,0.43035,-0.7667,-0.47641,0.86
283,607463.305848,0.43136,-0.76645,-0.47591,0.96
284,607463.309534,0.43339,-0.76585,-0.47502,1.22
285,607463.313749,0.43041,-0.76182,-0.48412,1.56
286,607463.322208,0.43345,-0.76561,-0.47535,0.73
287,607463.324953,0.42802,-0.76806,-0.47632,0.59
288,607463.329301,0.43114,-0.76561,-0.47745,1.13
289,607463.333208,0.43048,-0.76618,-0.47713,0.95
290,607463.336516,0.42869,-0.76802,-0.47578,0.77
291,607463.344811,0.43331,-0.76562,-0.47547,0.63
292,607463.349244,0.43002,-0.76191,-0.48433,1.46
293,607463.352876,0.43328,-0.76696,-0.47333,0.85
294,607463.358099,0.4321,-0.76272,-0.48119,1.76
295,607463.361064,0.43447,-0.76659,-0.47284,0.93
296,607463.369211,0.4315,-0.76539,-0.47747,0.79
297,607463.373506,0.4267,-0.762,-0.48712,1.02
298,607463.378269,0.43374,-0.7684,-0.47056,1.08
299,607463.389935,0.43089,-0.76238,-0.48281,1.51
300,607463.397923,0.43461,-0.76439,-0.47625,0.96
301,607463.400836,0.43175,-0.75986,-0.486,1.44
302,607463.405137,0.43035,-0.76742,-0.47525,1.12
303,607463.408884,0.43369,-0.76172,-0.48135,1.55
304,607463.41266,0.43275,-0.7658,-0.47569,1.13
305,607463.421052,0.43071,-0.76715,-0.47537,0.99
306,607463.424937,0.4302,-0.76521,-0.47894,1.22
307,607463.429528,0.42956,-0.76913,-0.4732,0.61
308,607463.432921,0.43113,-0.767,-0.47522,0.93
309,607463.436716,0.43,-0.76864,-0.47359,0.7
310,607463.445106,0.43121,-0.76115,-0.48448,1.46
311,607463.449295,0.4362,-0.76281,-0.47734,0.91
312,607463.452816,0.43208,-0.76083,-0.48419,1.59
313,607463.457147,0.43028,-0.76717,-0.47572,0.74
314,607463.46027,0.42479,-0.76386,-0.48586,0.54
315,607463.472966,0.4259,-0.76438,-0.48408,0.52
316,607463.478021,0.43046,-0.76582,-0.47773,0.82
317,607463.481821,0.43334,-0.76313,-0.47943,1.51
318,607463.48511,0.43113,-0.76278,-0.48196,1.3
319,607463.488638,0.43153,-0.76091,-0.48456,1.18
