frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
137,607462.552603,52.338,68,121.993,22.493,70.392,115.208,65.415,429.44,219.99,92.28,150.67,64.82
138,607462.556724,52.143,72,121.663,22.61,70.39,114.698,65.192,428.98,220.11,92.28,149.95,64.62
139,607462.561503,52.88,64,121.982,22.613,70.069,116.105,65.295,429.43,220.12,91.91,151.76,64.76
140,607462.564461,52.317,73,121.822,22.585,70.361,115.102,65.587,429.07,220.1,92.44,150.35,65.13
141,607462.569708,52.431,73,121.718,22.71,70.266,115.244,65.449,429.03,220.26,92.14,150.68,64.86
142,607462.577234,52.289,72,121.69,22.694,70.317,114.957,65.827,429.0,220.21,92.3,150.3,65.24
143,607462.580771,52.328,71,121.47,22.777,70.207,114.879,65.334,428.71,220.37,92.08,150.2,64.8
144,607462.585113,52.505,67,121.699,22.768,70.136,115.224,65.747,428.94,220.4,92.01,150.55,65.18
145,607462.588609,52.643,70,121.784,22.694,70.194,115.683,65.394,429.07,220.26,92.05,151.15,64.8
146,607462.592936,52.563,67,121.369,22.764,70.142,115.386,65.093,428.6,220.3,92.07,150.9,64.5
147,607462.596614,52.764,70,121.558,22.901,70.041,115.751,65.757,428.72,220.54,91.9,151.06,65.12
148,607462.605664,52.874,72,121.464,22.955,69.987,115.954,65.773,428.63,220.67,91.79,151.24,65.34
149,607462.617947,52.566,68,121.471,22.952,70.047,115.237,65.994,428.61,220.64,91.94,150.33,65.46
150,607462.621084,52.462,67,121.546,22.735,70.285,115.357,66.021,428.81,220.26,92.3,150.66,65.46
151,607462.628786,53.154,67,121.636,22.997,69.725,116.273,65.687,428.95,220.64,91.44,152.09,65.16
152,607462.632898,53.128,72,121.436,23.043,69.796,116.322,65.793,428.61,220.71,91.53,151.99,65.16
153,607462.63664,53.104,70,121.502,23.022,69.788,116.242,65.735,428.77,220.67,91.55,151.89,65.17
154,607462.640939,53.187,71,121.526,22.996,69.771,116.439,65.796,428.79,220.7,91.44,152.12,65.27
155,607462.644747,52.845,75,121.461,23.008,69.864,115.673,65.684,428.65,220.67,91.69,150.96,65.09
