frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
193,605975.306934,55.009,66,-128.595,28.1,74.308,129.579,116.717,147.82,211.68,100.79,175.39,117.24
194,605975.312047,55.216,65,-128.988,27.966,74.117,129.919,117.203,147.27,211.4,100.66,175.95,117.78
195,605975.316348,54.047,65,-128.459,27.68,75.523,128.632,117.132,147.97,211.05,102.5,174.19,117.72
196,605975.324352,54.855,70,-128.743,27.987,74.635,129.655,116.916,147.63,211.46,101.37,175.49,117.46
197,605975.336789,54.423,66,-128.748,27.849,75.252,129.342,116.922,147.59,211.28,102.13,175.12,117.51
198,605975.33948,54.761,70,-128.801,28.018,74.787,129.617,116.862,147.52,211.48,101.55,175.54,117.43
199,605975.348189,54.281,67,-128.698,27.794,75.421,129.187,116.976,147.69,211.19,102.45,174.89,117.53
200,605975.351849,54.783,70,-128.798,28.045,74.742,129.608,116.846,147.52,211.56,101.42,175.48,117.43
201,605975.354458,54.447,67,-128.768,27.873,75.181,129.297,116.869,147.55,211.27,102.12,175.07,117.5
202,605975.360465,54.588,67,-128.621,28.149,74.76,129.02,116.69,147.74,211.68,101.48,174.59,117.26
203,605975.363427,54.773,64,-128.596,28.18,74.63,129.382,116.634,147.84,211.67,101.48,175.11,117.2
204,605975.370907,54.552,63,-128.506,28.18,74.69,128.783,116.701,147.94,211.74,101.36,174.3,117.31
205,605975.375355,54.631,68,-128.54,28.103,74.697,129.046,116.673,147.89,211.65,101.35,174.8,117.24
206,605975.37903,54.825,69,-128.604,28.073,74.472,129.273,116.627,147.78,211.56,101.18,174.88,117.18
207,605975.382918,54.386,68,-128.496,27.797,75.057,128.892,116.789,147.9,211.2,101.85,174.6,117.37
208,605975.387697,54.855,68,-128.535,27.937,74.567,129.535,116.647,147.88,211.41,101.2,175.36,117.22
209,605975.391275,54.114,64,-128.361,27.678,75.425,128.673,117.037,148.1,211.05,102.37,174.24,117.62
210,605975.399745,54.603,67,-128.61,27.75,75.0,129.48,117.036,147.76,211.09,101.92,175.17,117.64
211,605975.403619,53.809,64,-128.251,27.601,75.854,128.462,117.348,148.24,210.95,102.94,173.99,117.93
212,605975.406933,54.619,68,-128.634,27.796,75.003,129.536,117.133,147.74,211.22,101.78,175.39,117.71
213,605975.424446,54.127,67,-128.477,27.723,75.395,128.662,117.246,147.94,211.12,102.31,174.24,117.83
214,605975.427259,54.625,70,-128.632,27.958,74.719,129.067,116.967,147.67,211.47,101.27,174.75,117.61
215,605975.431674,54.643,72,-128.691,27.871,74.86,129.367,116.881,147.69,211.3,101.67,175.11,117.43
